id_operacion,fecha_originacion,producto,canal,region,monto_original,plazo_meses,renta,carga_financiera,antiguedad_meses,score,saldo,dias_mora,fecha_default
A000001,2021-06-12,Consumo,Digital,Biobío,1564721,24,854769,0.0825,25,866,481874,0,
A000002,2022-11-13,Consumo,Sucursal,Valparaíso,1639672,36,420000,0.1194,45,851,277198,0,
A000003,2022-12-06,Tarjeta,Digital,Valparaíso,1602620,60,420000,0.069,16,910,684469,0,
A000004,2023-05-15,Consumo,Digital,Valparaíso,6996415,36,947510,0.2209,74,877,1871134,0,
A000005,2023-05-04,Consumo,Digital,Metropolitana,1311329,12,420000,0.2826,49,748,730741,0,
A000006,2022-07-24,Consumo,Digital,Metropolitana,1657126,18,500252,0.2135,23,793,1368877,84,
A000007,2021-11-27,Consumo,Sucursal,Otras,1343148,48,483701,0.0701,33,898,323204,0,
A000008,2022-01-09,Consumo,Digital,Valparaíso,8919346,36,1706427,0.1628,59,926,1634583,0,
A000009,2023-06-23,Consumo,Convenio,Metropolitana,999087,36,626986,0.0495,59,950,528832,0,
A000010,2023-06-25,Tarjeta,Sucursal,Valparaíso,6197040,18,726928,0.5176,12,630,4717716,0,
A000011,2022-07-22,Consumo,Sucursal,Metropolitana,2506321,48,470520,0.1268,29,848,677659,0,
A000012,2022-12-15,Automotriz,Digital,Metropolitana,1657537,36,420000,0.1332,33,869,239152,0,
A000013,2022-10-28,Tarjeta,Digital,Otras,1576580,36,461230,0.1135,12,841,1304156,0,
A000014,2022-12-10,Microempresa,Convenio,Otras,1419856,18,420000,0.2199,11,769,1321692,90,2023-01-09
A000015,2023-02-18,Tarjeta,Sucursal,Metropolitana,3732822,18,1192005,0.1899,56,927,3066133,88,
A000016,2022-07-25,Microempresa,Digital,Metropolitana,2041976,48,461513,0.1074,29,836,1257876,90,2023-01-21
A000017,2021-06-16,Consumo,Convenio,Metropolitana,1884903,36,420000,0.151,36,844,603797,0,
A000018,2022-06-21,Tarjeta,Convenio,Otras,1649310,48,723536,0.0527,45,950,1249428,0,
A000019,2021-05-04,Automotriz,Convenio,Metropolitana,1685921,24,422921,0.1984,15,822,181215,0,
A000020,2021-08-11,Microempresa,Sucursal,Metropolitana,6652301,36,786909,0.2575,25,809,1185643,0,
A000021,2021-05-24,Tarjeta,Convenio,Metropolitana,3564603,36,693249,0.159,31,854,2138471,0,
A000022,2021-11-29,Consumo,Convenio,Metropolitana,2937234,48,540683,0.128,37,915,765045,0,
A000023,2021-03-06,Tarjeta,Digital,Metropolitana,2252797,36,420000,0.1593,71,842,1560029,0,
A000024,2022-11-15,Automotriz,Digital,Metropolitana,4160935,48,851645,0.12,72,929,2275456,0,
A000025,2022-07-07,Microempresa,Digital,Metropolitana,3542799,48,420000,0.1941,45,791,2345539,90,2023-06-02
A000026,2021-11-03,Consumo,Sucursal,Metropolitana,3768021,24,846869,0.2171,4,813,781332,0,
A000027,2021-06-09,Tarjeta,Digital,Metropolitana,4628895,24,773169,0.2894,9,729,3074583,240,2021-09-07
A000028,2021-02-11,Consumo,Sucursal,Otras,7308020,12,980848,0.7363,18,649,7088635,294,2021-07-11
A000029,2021-04-05,Automotriz,Digital,Biobío,3490645,48,645775,0.1296,23,828,1850913,0,
A000030,2022-09-13,Consumo,Convenio,Otras,3145636,48,458616,0.1559,56,802,1239696,0,
A000031,2022-05-16,Automotriz,Sucursal,Valparaíso,3716021,12,420000,0.8475,23,535,403522,0,
A000032,2021-08-24,Microempresa,Sucursal,Otras,3954438,48,546271,0.1717,19,816,1652905,0,
A000033,2022-08-03,Tarjeta,Convenio,Otras,2750466,60,420000,0.128,39,786,1604809,0,
A000034,2022-07-14,Tarjeta,Sucursal,Metropolitana,3213332,36,764195,0.1262,17,874,1921199,0,
A000035,2022-09-20,Consumo,Sucursal,Otras,2846995,24,465364,0.2727,24,768,2238736,0,
A000036,2022-01-01,Consumo,Convenio,Otras,4375609,48,951311,0.1025,17,851,638627,0,
A000037,2022-09-02,Consumo,Sucursal,Metropolitana,4029755,24,686831,0.2822,13,722,1744448,0,
A000038,2021-10-14,Microempresa,Sucursal,Metropolitana,2058254,36,487744,0.1244,14,814,1610516,0,
A000039,2021-06-17,Tarjeta,Sucursal,Valparaíso,4934864,48,586017,0.2019,30,819,3910679,0,
A000040,2021-02-01,Automotriz,Digital,Metropolitana,6962345,48,1060217,0.1522,29,863,3504415,0,
A000041,2022-12-26,Microempresa,Sucursal,Metropolitana,1094510,36,420000,0.0831,18,837,762175,0,
A000042,2021-07-12,Tarjeta,Sucursal,Metropolitana,780521,24,642749,0.058,22,898,162797,19,
A000043,2022-05-21,Consumo,Sucursal,Metropolitana,2199737,48,420000,0.1214,28,881,971687,0,
A000044,2022-02-07,Consumo,Digital,Metropolitana,8453736,18,1374500,0.4014,12,791,2290365,0,
A000045,2022-12-04,Microempresa,Digital,Otras,3292016,18,517513,0.3941,69,762,547055,0,
