id_operacion,fecha_originacion,producto,canal,region,monto_original,plazo_meses,renta,carga_financiera,antiguedad_meses,score,saldo,dias_mora,fecha_default
B000001,2025-07-11,Consumo,Sucursal,Metropolitana,1680980,24,420000,0.1956,11,737,1059507,0,
B000002,2025-04-07,Tarjeta,Digital,Valparaíso,4059943,12,661929,0.5829,16,597,2297885,134,2025-06-06
B000003,2025-10-14,Consumo,Sucursal,Metropolitana,2435725,48,862633,0.0686,5,843,1477947,0,
B000004,2025-04-22,Tarjeta,Digital,Metropolitana,3977217,18,1019737,0.2383,29,820,1349015,0,
B000005,2025-10-26,Automotriz,Sucursal,Metropolitana,2624307,24,598726,0.2154,13,787,1381919,0,
B000006,2025-04-08,Microempresa,Sucursal,Biobío,3388640,18,513872,0.415,56,742,1179619,0,
B000007,2025-01-01,Tarjeta,Sucursal,Biobío,571863,36,420000,0.0424,24,750,394825,0,
B000008,2025-07-20,Tarjeta,Convenio,Valparaíso,3496403,36,420000,0.2719,40,758,1167032,0,
B000009,2025-04-02,Tarjeta,Sucursal,Metropolitana,3775425,36,507201,0.2343,25,726,3044753,0,
B000010,2025-03-16,Consumo,Convenio,Metropolitana,1008962,12,543339,0.1655,19,822,138371,0,
B000011,2025-04-03,Tarjeta,Sucursal,Metropolitana,3050042,24,747772,0.2054,30,789,1796468,0,
B000012,2025-11-12,Microempresa,Digital,Otras,3135137,36,504011,0.1887,28,847,835859,0,
B000013,2025-03-08,Consumo,Sucursal,Biobío,1802023,48,502777,0.0828,13,831,1490315,8,
B000014,2025-04-29,Consumo,Digital,Otras,1331284,48,596973,0.0501,38,907,286375,0,
B000015,2025-08-04,Automotriz,Sucursal,Metropolitana,2015488,48,552346,0.084,6,854,379466,0,
B000016,2025-11-07,Automotriz,Sucursal,Biobío,2368844,48,420000,0.1421,45,748,527452,0,
B000017,2025-12-02,Tarjeta,Convenio,Metropolitana,2911485,24,420000,0.352,14,691,1673998,0,
B000018,2025-05-08,Tarjeta,Digital,Otras,3472937,36,556983,0.1895,9,755,1347515,0,
B000019,2025-02-08,Consumo,Digital,Metropolitana,3363427,36,502027,0.2204,16,669,802291,0,
B000020,2025-11-27,Consumo,Digital,Metropolitana,1274163,18,420000,0.1902,37,787,789861,0,
B000021,2025-04-08,Consumo,Sucursal,Metropolitana,1125736,60,420000,0.0497,8,772,382854,0,
B000022,2025-09-10,Consumo,Sucursal,Valparaíso,4366179,48,549227,0.186,27,840,1464446,0,
B000023,2025-02-28,Tarjeta,Convenio,Metropolitana,813786,60,556412,0.0265,32,866,309036,0,
B000024,2025-12-10,Microempresa,Digital,Biobío,8927683,36,1524355,0.1859,20,896,5313580,0,
B000025,2025-06-05,Tarjeta,Digital,Biobío,3638938,60,974188,0.0688,12,858,1717621,0,
B000026,2025-03-05,Consumo,Digital,Metropolitana,3426399,36,420000,0.2426,17,793,2598341,0,
B000027,2025-04-30,Tarjeta,Convenio,Metropolitana,4238806,48,521530,0.1931,7,735,1094296,0,
B000028,2025-01-05,Tarjeta,Sucursal,Otras,4713515,24,700569,0.3359,43,738,4469034,90,2025-09-02
B000029,2025-11-01,Automotriz,Digital,Otras,2020888,36,488457,0.1351,41,784,391976,0,
B000030,2025-08-11,Tarjeta,Sucursal,Metropolitana,3310724,18,420000,0.4661,49,705,2235515,105,2026-06-07
B000031,2025-11-06,Consumo,Sucursal,Otras,5097275,48,1754797,0.0675,21,867,1369720,0,
B000032,2025-01-04,Consumo,Digital,Metropolitana,3072051,48,471659,0.153,17,817,384644,0,
B000033,2025-10-19,Automotriz,Convenio,Metropolitana,2920871,18,420000,0.4551,16,726,2772921,264,2026-03-18
B000034,2025-07-29,Consumo,Digital,Metropolitana,7728811,18,1012541,0.5071,26,647,4337682,0,
B000035,2025-04-14,Consumo,Digital,Valparaíso,6363299,60,884175,0.1448,25,819,3508973,47,
B000036,2025-09-21,Consumo,Sucursal,Metropolitana,7136767,36,861439,0.2549,16,841,805023,88,
B000037,2025-06-25,Tarjeta,Digital,Valparaíso,3287169,48,420000,0.1899,17,671,480214,0,
B000038,2025-01-12,Consumo,Digital,Metropolitana,1823590,24,420000,0.208,12,756,890325,0,
B000039,2025-12-25,Microempresa,Digital,Valparaíso,6759720,36,929449,0.2215,10,835,888044,0,
B000040,2025-08-28,Tarjeta,Sucursal,Biobío,5528091,24,686673,0.407,29,728,1762275,0,
B000041,2025-07-02,Tarjeta,Convenio,Valparaíso,3746344,48,420000,0.1976,40,737,716123,50,
B000042,2025-11-10,Tarjeta,Digital,Valparaíso,4238003,36,618248,0.224,28,803,3277763,19,
B000043,2025-10-04,Automotriz,Digital,Metropolitana,3125736,48,420000,0.1658,13,737,1509056,0,
B000044,2025-02-01,Tarjeta,Convenio,Metropolitana,874827,12,445454,0.1872,46,786,288569,37,
B000045,2025-02-18,Consumo,Digital,Metropolitana,3991535,48,477321,0.1864,4,712,3164704,0,
B000046,2025-05-31,Tarjeta,Sucursal,Biobío,1400856,36,420000,0.1067,24,807,505738,0,
B000047,2025-08-24,Tarjeta,Sucursal,Metropolitana,2421290,36,535041,0.1404,20,781,1633032,0,
B000048,2025-07-14,Consumo,Convenio,Otras,2422333,24,660162,0.1789,12,867,1955543,0,
B000049,2025-06-24,Automotriz,Digital,Biobío,1642489,48,420000,0.0977,10,802,1394428,90,2025-12-21
B000050,2025-12-30,Consumo,Sucursal,Metropolitana,771463,24,626461,0.057,26,878,400084,0,
B000051,2025-02-28,Consumo,Digital,Metropolitana,5135167,60,815960,0.1165,36,853,2881297,43,
B000052,2025-12-14,Tarjeta,Sucursal,Metropolitana,4248788,60,785947,0.0978,8,867,527850,0,
B000053,2025-06-07,Microempresa,Sucursal,Biobío,1242241,36,922597,0.0453,26,848,492238,0,
B000054,2025-06-16,Automotriz,Digital,Otras,849495,18,577889,0.0959,18,854,107911,0,
B000055,2025-10-24,Consumo,Sucursal,Valparaíso,1901860,48,420000,0.1094,21,843,1346673,0,
B000056,2025-12-02,Consumo,Sucursal,Biobío,4316308,48,747550,0.1392,37,893,3814929,90,2026-01-01
B000057,2025-08-14,Automotriz,Convenio,Metropolitana,4124298,24,927034,0.2129,12,769,3976843,90,2026-08-09
B000058,2025-05-17,Consumo,Digital,Otras,4429475,36,586556,0.2343,11,712,938171,0,
B000059,2025-03-13,Automotriz,Sucursal,Metropolitana,2586460,60,420000,0.1151,4,742,534650,0,
B000060,2025-09-15,Consumo,Digital,Metropolitana,1153986,36,469352,0.0754,29,775,836834,0,
B000061,2025-01-20,Tarjeta,Digital,Metropolitana,1186216,18,792020,0.0956,22,815,211490,25,
B000062,2025-11-09,Consumo,Digital,Metropolitana,3471297,36,420000,0.2595,30,817,988262,0,
B000063,2025-08-08,Consumo,Convenio,Biobío,1577570,36,935402,0.0503,18,887,1254860,0,
B000064,2025-06-20,Automotriz,Sucursal,Biobío,2858941,18,420000,0.4387,39,727,1155100,0,
B000065,2025-05-31,Tarjeta,Sucursal,Otras,4309552,24,1001975,0.212,35,799,3582775,0,
B000066,2025-01-21,Consumo,Digital,Metropolitana,11944518,60,1607657,0.1487,19,879,6578922,223,2025-04-21
B000067,2025-09-05,Tarjeta,Digital,Metropolitana,2842542,36,420000,0.2111,17,750,570542,0,
B000068,2025-08-06,Tarjeta,Convenio,Metropolitana,11699207,24,1457254,0.4008,36,795,8974856,0,
