id_operacion,producto,region,saldo,score,dias_mora,linea_no_usada,factor_conversion,pd_12m,pd_lifetime,lgd
A010501,Tarjeta,Biobío,726510,857,84,1426929,0.4,0.005326,0.013931,0.6439
A001816,Automotriz,Otras,3146309,905,9,0,0.0,0.002792,0.009302,0.4205
A010076,Consumo,Metropolitana,1769523,950,0,0,0.0,0.001522,0.004912,0.6718
A006808,Tarjeta,Metropolitana,911059,950,0,538247,0.4,0.001522,0.005052,0.7163
A005513,Consumo,Otras,382520,913,0,0,0.0,0.002506,0.007041,0.6315
A000722,Consumo,Metropolitana,6585401,914,0,0,0.0,0.002473,0.0065,0.5703
A008233,Tarjeta,Metropolitana,1045878,823,0,544163,0.4,0.008407,0.025262,0.6401
A005258,Consumo,Biobío,2382256,845,0,0,0.0,0.006258,0.013456,0.6982
A014694,Automotriz,Metropolitana,2096777,803,0,0,0.0,0.010987,0.034636,0.3492
A002385,Tarjeta,Otras,3501400,803,0,1527212,0.4,0.010987,0.025556,0.5596
A013931,Tarjeta,Metropolitana,1370033,748,0,871070,0.4,0.022826,0.055264,0.7478
A010172,Consumo,Metropolitana,7762145,871,0,0,0.0,0.004412,0.013614,0.6202
A006618,Automotriz,Otras,312643,883,0,0,0.0,0.003754,0.008642,0.4096
A004359,Tarjeta,Metropolitana,1249017,718,0,1168976,0.4,0.033851,0.083781,0.7916
A001590,Microempresa,Metropolitana,2697613,771,0,5829094,0.4,0.016831,0.051726,0.5672
A011635,Consumo,Metropolitana,3891454,594,90,0,0.0,0.157669,0.342283,0.6387
A012944,Consumo,Otras,1313130,817,7,0,0.0,0.00911,0.025926,0.5681
A004900,Consumo,Metropolitana,745372,785,0,0,0.0,0.01397,0.046663,0.6428
A014825,Consumo,Otras,2884329,943,57,0,0.0,0.001672,0.004093,0.564
A003365,Consumo,Biobío,712772,890,0,0,0.0,0.003417,0.007757,0.6513
A013967,Consumo,Biobío,1624060,883,0,0,0.0,0.003754,0.008464,0.5712
A011668,Consumo,Otras,463009,877,0,0,0.0,0.00407,0.0116,0.6018
A010558,Tarjeta,Metropolitana,2051459,902,0,3950009,0.4,0.002907,0.006757,0.7297
A006386,Tarjeta,Biobío,1518152,750,0,580311,0.4,0.022231,0.061492,0.6477
A011261,Tarjeta,Metropolitana,1365989,917,36,1866400,0.4,0.002375,0.005251,0.7349
A007755,Microempresa,Biobío,1630739,847,0,2768449,0.4,0.006092,0.017441,0.5303
A011168,Tarjeta,Otras,2652917,680,90,4229935,0.4,0.055313,0.156834,0.723
A002005,Consumo,Biobío,653464,819,81,0,0.0,0.00887,0.029823,0.5796
A006582,Consumo,Metropolitana,4945224,895,0,0,0.0,0.003194,0.010739,0.6471
A007551,Consumo,Otras,1953879,811,0,0,0.0,0.009872,0.032424,0.5979
A003985,Microempresa,Valparaíso,1963132,760,0,643116,0.4,0.019476,0.065262,0.5392
A002461,Consumo,Metropolitana,2237446,857,44,0,0.0,0.005326,0.013718,0.5754
A009000,Consumo,Metropolitana,1526190,899,0,0,0.0,0.003027,0.009877,0.6459
A006235,Consumo,Metropolitana,298779,913,0,0,0.0,0.002506,0.008027,0.6245
A007064,Tarjeta,Metropolitana,2636525,822,0,2081228,0.4,0.00852,0.019689,0.7909
A004656,Consumo,Metropolitana,1070159,831,0,0,0.0,0.007552,0.019042,0.7926
A011152,Consumo,Otras,601254,789,0,0,0.0,0.013245,0.028827,0.5183
A005658,Automotriz,Otras,3401760,717,0,0,0.0,0.034296,0.102887,0.4389
A002367,Consumo,Biobío,1130313,823,0,0,0.0,0.008407,0.02692,0.6119
